,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg,Trade Count,Volume,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Expiration,Strike Price,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Trade Count,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg
0,1,0,0,0,0.0004,0,0.85,0,0,0.1,15.05,,15.25,400,GME 15-Jan-21,0.5,0.1,0,,0.01,400,0,0,3294,0,0,0,0,0,0,0
12,1,0,0,0,0.0007,0,0.825,0,0,0.1,14.55,,14.75,400,GME 15-Jan-21,1,0.1,0,,0.01,400,0,0,4187,0,0,0,0,0,0,0
1,1,0,0,0,0.0011,26.085,0.825,0,0,0.1,14.05,,14.25,400,GME 15-Jan-21,1.5,0.1,0,,0.02,392.5,0,0,169,0,0,0,0,0,26.085,0.005
30,1,0,0,0,0.0014,-46.745,0.85,0,0,0.1,13.55,,13.75,400,GME 15-Jan-21,2,0.1,0,,0.01,306.14,0,0,1882,0,0,0,0,0,-46.745,-0.04
8,0.9999,0,0,-0.0001,0.0018,6.285,0.85,0,0,0.1,13.05,,13.25,400,GME 15-Jan-21,2.5,0.1,0,,0.02,303.87,0,0,2180,0,0,0,0,0,6.285,0
601,0.9999,0,0,-0.0001,0.0021,-3.75,0.85,0,0,0.1,12.55,,12.75,361.22,GME 15-Jan-21,3,0.1,0,,0.01,250,1,1,10161,0,0,0,0,0,-3.75,-0.005
33,0.9999,0.0001,0,-0.0001,0.0025,-0.44,0.85,0,0,0.1,12.05,,12.25,327.77,GME 15-Jan-21,3.5,0.1,0,,0.01,234.14,0,0,1560,0,0,0,0,0,-0.44,-0.005
949,0.9999,0.0001,0,-0.0001,0.0029,16.665,0.825,1,1,0.1,11.55,,11.75,301.01,GME 15-Jan-21,4,216.23,0.01,,0.02,228.15,0,0,4086,-0.0044,0.0014,0.0005,-0.0023,-0.0001,16.665,0
1380,0.9999,0.0001,0,-0.0001,0.0032,1.07,0.875,0,0,0.1,11.05,,11.25,275.8,GME 15-Jan-21,4.5,0.1,0,,0.02,210.82,0,0,3345,0,0,0,0,0,1.07,-0.005
4228,0.9999,0.0001,0,-0.0001,0.0036,12.035,0.8,2,2,0.1,10.5,,10.75,253.9,GME 15-Jan-21,5,174.66,0.01,,0.02,194.31,5,5,6894,-0.0048,0.0018,0.0005,-0.0021,-0.0001,12.035,0
1333,0.9998,0.0001,0,-0.0001,0.0039,20.715,0.875,0,0,0.1,10.05,,10.25,233.75,GME 15-Jan-21,5.5,162.5,0.01,,0.05,203.37,0,0,9494,-0.0081,0.0029,0.0011,-0.0032,-0.0001,20.715,0.01
630,0.9998,0.0002,0,-0.0001,0.0043,12.105,0.85,4,9,0.1,9.55,,9.75,215.41,GME 15-Jan-21,6,162.35,0.02,,0.04,181.86,20,250,5036,-0.0099,0.0037,0.0012,-0.0037,-0.0001,12.105,0
3298,0.9997,0.0003,0,-0.0002,0.005,5.18,0.825,10,81,0.1,8.55,,8.75,184.18,GME 15-Jan-21,7,140.15,0.02,,0.03,147.31,12,52,4042,-0.0107,0.0047,0.0013,-0.0032,-0.0001,5.18,-0.01
5500,0.9999,0.0001,0,-0.0001,0.0057,-1.635,0.775,4,25,0.1,7.55,,7.7,139.17,GME 15-Jan-21,8,130.54,0.04,,0.05,136.26,23,124,10742,-0.0184,0.0082,0.0025,-0.0049,-0.0002,-1.635,-0.035
1174,0.9999,0.0001,0,-0.0001,0.0064,-2.465,0.775,13,27,0.1,6.6,,6.7,116.02,GME 15-Jan-21,9,129.13,0.09,,0.1,131.81,81,547,7648,-0.0373,0.0152,0.0039,-0.0086,-0.0005,-2.465,-0.05
11202,0.9979,0.0025,0.0003,-0.0005,0.0071,0.245,0.725,95,207,0.1,5.6,,5.8,121.91,GME 15-Jan-21,10,124.2,0.17,,0.18,126.75,425,5143,12410,-0.0655,0.0246,0.0048,-0.0129,-0.0008,0.245,-0.1
4317,0.9294,0.033,0.005,-0.011,0.007,-2.515,0.7,73,103,82.49,4.7,,4.9,115.57,GME 15-Jan-21,11,120.08,0.29,,0.37,130.85,292,1651,3993,-0.1111,0.0364,0.0075,-0.0192,-0.0014,-2.515,-0.14
5031,0.8563,0.0505,0.0106,-0.0201,0.0067,-5.77,0.6,338,665,106.8,4,,4.05,110.78,GME 15-Jan-21,12,120.61,0.51,,0.58,127.31,235,684,5130,-0.167,0.0486,0.0106,-0.025,-0.0021,-5.77,-0.2
7329,0.7815,0.0647,0.0135,-0.0269,0.0064,0.4,0.51,96,430,101.23,3.2,,3.45,120.89,GME 15-Jan-21,13,121.96,0.82,,0.89,127.02,176,899,5186,-0.2345,0.0596,0.0135,-0.0309,-0.0029,0.4,-0.28
4405,0.6956,0.0725,0.014,-0.0336,0.0058,-0.695,0.52,204,618,113.72,2.72,,2.83,121.06,GME 15-Jan-21,14,123.55,1.22,,1.29,128.38,215,544,5133,-0.3087,0.0682,0.014,-0.0361,-0.004,-0.695,-0.415
22735,0.6144,0.0777,0.016,-0.0368,0.0052,-0.345,0.4,927,8085,116.04,2.23,,2.32,121.28,GME 15-Jan-21,15,123.46,1.71,,1.79,128.26,138,717,10064,-0.3849,0.0733,0.016,-0.0388,-0.005,-0.345,-0.42
6138,0.532,0.0837,0.0165,-0.0372,0.0047,5.21,0.29,249,1142,106.68,1.62,,1.9,123.31,GME 15-Jan-21,16,126.66,2.31,,2.38,130.63,40,725,3942,-0.4578,0.0747,0.0165,-0.0413,-0.0059,5.21,-0.445
7847,0.4624,0.0789,0.017,-0.0394,0.0041,-1.77,0.3,163,713,119.69,1.46,,1.54,124.1,GME 15-Jan-21,17,127.27,2.95,,3.1,135.91,229,41748,12685,-0.5248,0.0732,0.017,-0.0423,-0.007,-1.77,-0.525
